id_orden_municip,id_nodo_prbd,nomenclatura_redgto,nombre_nodo,tipo_nodo,ip_nodo,rango_nodo,clave,fecha_operacion_nodo,id_comunidad,comunidad,id_comunidad_inegi,id_municipio,municipio,longitud,latitud,clave_nodo,direccion,codigo_postal
192,110,REDGTO-SAL-MO-00110,Escuela Primaria Cinco de Febrero,Escolar,10.0.200.4,0192.4.1,NE-SAL-110270089-01,2017,6834,La Luz (La Cal),110270089,1027,Salamanca,20.5552100,-101.1807200,11DPR0111H,"Calle Mina 106, La Luz, 36776 Salamanca, GUA, México",36776
21,111,REDGTO-COM-MO-00111,Escuela Primaria Enrique C. Rébsamen,Escolar,10.0.202.2,192.202.2,NE-COM-110090014-01,2017,2469,Jalpilla,110090014,1009,Comonfort,20.7304897,-100.7197495,11DPR1581F,"Calle Enrique García Dobarganes, Jalpilla, 38215, GUA, México",38215
22,112,REDGTO-COM-MO-00112,Escuela Telesecundaria Benito Juárez,Escolar,10.0.202.8,192.202.8,NE-COM-110090014-02,2017,2469,Jalpilla,110090014,1009,Comonfort,20.7327995,-100.7197495,11ETV0071V,"Calle Lerdo de Tejada, Nueva, 38215, GUA, México",38215
23,113,REDGTO-COM-MO-00113,Escuela Primaria Mariano Escobedo,Escolar,10.0.202.12,192.202.12,NE-COM-110090088-01,2017,2518,San Pedro Norte,110090088,1009,Comonfort,20.7753296,-100.7892380,11DPR1039V,"Calle 16 de Septiembre, San Pedro Del Norte, 38207, GUA, México",38207
135,114,REDGTO-LEO-MO-00114,Escuela Primaria Joel Cisneros Lara,Escolar,10.1.200.14,192.200.14,NE-LEO-110201379-01,2017,4802,León de los Aldama,110200001,1020,Leon,21.1668892,-101.7562103,11DPR3915Q,"Boulevard Torre León, Fraccionamiento Paseo de las Torres, 37669 León, GUA, México",37669
136,115,REDGTO-LEO-MO-00115,Escuela Primaria Dr. Pablo del Río,Escolar,10.1.200.22,192.200.22,NE-LEO-110201379-02,2017,4802,León de los Aldama,110200001,1020,Leon,21.1663399,-101.7631226,11EPR0193G,"Calle Campestre Ahuehuete, Fraccionamiento Paseos del Roble, 37669 León, GUA, México",37669
137,116,REDGTO-LEO-MO-00116,Telesecundaria No. 1003,Escolar,10.1.200.24,192.200.24,NE-LEO-110200371-01,2017,4854,Mesa de Ibarrilla,110200371,1020,Leon,21.2203693,-101.6342392,11ETV1003E,"Calle S/Nom, 37676, GUA, México",37676
227,117,REDGTO-SMA-MO-00117,Escuela Primaria Juan Aldama,Escolar,10.0.203.4,192.203.4,NE-SMA-110030094-01,2017,700,Don Juan,110030094,1003,San Miguel de Allende,20.8400010,-100.8057220,11DPR2993N,"Calle Aldama, San Marcos De Begoña, 37898, GUA, México",37898
228,118,REDGTO-SMA-MO-00118,Escuela Primaria Simón Bolivar,Escolar,10.0.203.12,192.203.12,NE-SMA-110030195-01,2017,771,Pantoja,110030195,1003,San Miguel de Allende,20.8732395,-100.7889709,11DPR2231H,"Calle S/Nom, Pantoja, 37897, GUA, México",37897
229,119,REDGTO-SMA-MO-00119,Escuela Primaria Melchor Ocampo (Tlaxcalilla),Escolar,10.0.203.14,192.203.14,NE-SMA-110030855-01,2017,1130,Tlaxcalilla,110030855,1003,San Miguel de Allende,20.8891296,-100.8446198,11DPR2456O,"Calle Principal, 37894, GUA, México",37894
264,120,REDGTO-JVR-MO-00120,Escuela Primaria Niños Héroes (El Naranjillo),Escolar,10.0.205.2,192.205.2,NE-JVR-110350037-01,2017,9271,El Naranjillo,110350037,1035,Santa Cruz de Juventino Rosas,20.7152557,-101.0009613,11DPR0314C,"Calle Juventino Rosas 2, El Naranjillo, 38256, GUA, México",38256
265,121,REDGTO-JVR-MO-00121,Telesecundaria Dani Nanhu,Escolar,10.0.205.4,192.205.4,NE-JVR-110350037-02,2017,9271,El Naranjillo,110350037,1035,Santa Cruz de Juventino Rosas,20.7139912,-101.0000763,11ETV0446S,"Calle Juventino Rosas 10A, El Naranjillo, 38256, GUA, México",38256
266,122,REDGTO-JVR-MO-00122,Telesecundaria No. 1050,Escolar,10.0.205.6,192.205.6,NE-JVR-110350050-01,2017,9281,Los Dulces Nombres,110350050,1035,Santa Cruz de Juventino Rosas,20.6555500,-100.9618800,11ETV1050P,"Calle S/Nom, Dulces Nombres (El Ranchito), 38250, GUA, México",38250
267,123,REDGTO-JVR-MO-00123,Escuela Primaria Gabriela Mistral,Escolar,10.0.205.16,192.205.16,NE-JVR-110350050-02,2017,9281,Los Dulces Nombres,110350050,1035,Santa Cruz de Juventino Rosas,20.6542970,-100.9641010,11EPR0873M,"Calle S/Nom, Dulces Nombres (El Ranchito), 38250, GUA, México",38250
268,124,REDGTO-JVR-MO-00124,Escuela Primaria Ignacio Allende,Escolar,10.0.205.18,192.205.18,NE-JVR-110350038-01,2017,9272,San Antonio Nuevo Valencia (La Chiripa),110350038,1035,Santa Cruz de Juventino Rosas,20.6697006,-100.9883270,11DPR0722H,"Calle Ignacio Allende, San Jose Del Sauz (El Sauz), 38256, GUA, México",38256
269,125,REDGTO-JVR-MO-00125,Escuela Primaria Niños Héroes (La Tinaja),Escolar,10.0.205.20,192.168.20,NE-JVR-110350080-01,2017,9306,La Tinaja,110350080,1035,Santa Cruz de Juventino Rosas,20.7050591,-101.0380402,11DPR2077E,"Calle Allende, La Tinaja, 38256, GUA, México",38256
270,126,REDGTO-JVR-MO-00126,Escuela Primaria Felipe Ángeles,Escolar,10.0.205.22,192.205.22,NE-JVR-110350063-01,2017,9293,San José del Sauz,110350063,1035,Santa Cruz de Juventino Rosas,20.6761093,-100.9842911,11DPR2480O,"Calle Adolfo López Mateos, San Jose Del Sauz (El Sauz), 38256, GUA, México",38256
271,127,REDGTO-JVR-MO-00127,Telesecundaria Frida Kahlo,Escolar,10.0.205.24,192.205.24,NE-JVR-110350027-02,2017,9263,Jaralillo,110350027,1035,Santa Cruz de Juventino Rosas,20.6654205,-100.9758530,11ETV0720H,"Calle S/Nom, Jaralillo 1, 38250 Juventino Rosas, GUA, México",38250
272,128,REDGTO-JVR-MO-00128,Telesecundaria Nezahualcóyotl,Escolar,10.0.205.26,192.168.25,NE-JVR-110350080-02,2017,9306,La Tinaja,110350080,1035,Santa Cruz de Juventino Rosas,20.7067400,-101.0352900,11ETV0861G,"Calle Gómez Farías, La Tinaja, 38256, GUA, México",38256
273,129,REDGTO-JVR-MO-00129,Escuela Primaria Octavio Paz,Escolar,10.0.205.28,192.168.28,NE-JVR-110350008-01,2017,9249,El Carmen de Arriba,110350008,1035,Santa Cruz de Juventino Rosas,20.6879902,-101.0627136,11DPR3804L,"Calle S/Nom, 36866, GUA, México",36866
274,130,REDGTO-JVR-MO-00130,Telesecundaria Miguel Hidalgo y Costilla,Escolar,10.0.205.30,10.0.205.30,NE-JVR-110350059-01,2017,9289,San Diego de los Dolores,110350059,1035,Santa Cruz de Juventino Rosas,20.7266026,-101.0317383,11ETV0610B,"Calle 5 de Mayo 14, San Diego De Los Dolores, 38256, GUA, México",38256
